Date,Comunidad,O3,NO,NO2,NOx,NH3,NT,CO,SO2,PM10,Benceno,Tolueno,Xileno
2024-09-06 00:00:00,Alumbres,83.9,1.7,3.9,6.5,---,---,0.71,3.80,8.87,0.58,3.57,5.07
2024-09-06 01:00:00,Alumbres,85.6,1.8,3.4,6.1,---,---,0.71,3.40,27.78,0.80,4.45,6.27
2024-09-06 02:00:00,Alumbres,70.6,1.8,3.1,5.8,---,---,0.72,3.60,17.52,0.62,3.60,5.20
2024-09-06 03:00:00,Alumbres,57.5,1.6,3,5.5,---,---,0.72,3,9.23,0.48,3.07,4.90
2024-09-06 04:00:00,Alumbres,70,1.9,4.3,7.3,---,---,0.72,3.40,9.8,0.37,3.10,5.02
2024-09-06 05:00:00,Alumbres,75.4,1.8,4.2,7,---,---,0.72,3.40,15.32,0.38,2.93,4.88
2024-09-06 06:00:00,Alumbres,58.7,2,4.2,7.3,---,---,0.72,3.10,6.6,0.33,2.32,4.22
2024-09-06 07:00:00,Alumbres,40.5,2,5.4,8.4,---,---,0.72,3.30,16.1,0.37,3.32,6.55
2024-09-06 08:00:00,Alumbres,31.3,1.7,6.3,8.9,---,---,0.73,3.70,13.33,0.40,4.07,6.20
2024-09-06 09:00:00,Alumbres,36.5,2.3,12.6,16.2,---,---,0.73,3.80,22.8,0.40,4.60,5.87
2024-09-06 10:00:00,Alumbres,52.4,4.1,23.7,30,---,---,0.60,3.30,30.65,0.33,2.72,2.77
2024-09-06 11:00:00,Alumbres,75.4,3.6,18.7,24.2,---,---,0.42,3,39.12,0.27,1.07,0.60
2024-09-06 12:00:00,Alumbres,81.8,3.7,21,26.6,---,---,0.42,4.90,19,0.27,1.30,1.37
2024-09-06 13:00:00,Alumbres,84.7,3.1,11.6,16.4,---,---,0.41,4.90,7.1,0.30,1.78,2.02
2024-09-06 14:00:00,Alumbres,82.4,3.4,12.4,17.5,---,---,0.40,7,24.27,0.30,2.33,2.48
2024-09-06 15:00:00,Alumbres,85.3,3.1,9.4,14.2,---,---,0.39,4.20,19.47,0.30,1.68,2.35
2024-09-06 16:00:00,Alumbres,88.4,3.5,12.8,18.1,---,---,0.39,13.10,13.17,0.30,1.07,2.52
2024-09-06 17:00:00,Alumbres,94.4,2.7,9.9,14,---,---,0.39,14.70,23.12,0.37,3,3.37
2024-09-06 18:00:00,Alumbres,86.9,3.2,12.4,17.3,---,---,0.39,12.40,16.97,0.38,2.67,3.45
2024-09-06 19:00:00,Alumbres,83.6,2.9,8.9,13.3,---,---,0.40,13.90,12.62,0.30,1.90,2.70
2024-09-06 20:00:00,Alumbres,76.4,2.5,12,15.8,---,---,0.41,11.60,21.48,0.32,1.62,2.65
2024-09-06 21:00:00,Alumbres,81.6,1.8,9.9,12.6,---,---,0.41,6.50,6.17,0.30,1.43,2.08
2024-09-06 22:00:00,Alumbres,88.4,1.5,5.6,7.9,---,---,0.40,4.20,12.52,0.28,1.02,1.68
2024-09-06 23:00:00,Alumbres,93.5,1.6,6.8,9.2,---,---,0.41,4.40,20.42,0.42,1.98,3.62
2024-09-07 00:00:00,Alumbres,84.7,1.7,15,17.7,---,---,0.41,4.70,15.63,0.67,3.28,4.85
2024-09-07 01:00:00,Alumbres,91.1,2.2,11.6,15,---,---,0.42,5.70,23.25,0.53,2.45,3.52
2024-09-07 02:00:00,Alumbres,94.1,1.7,9.8,12.3,---,---,0.43,4,25.4,0.33,1.38,2.22
2024-09-07 03:00:00,Alumbres,95.1,1.7,10.1,12.8,---,---,0.44,3.60,19.12,0.30,0.95,1.57
2024-09-07 04:00:00,Alumbres,92,1.7,8,10.6,---,---,0.44,3.30,20.43,0.30,0.80,1.28
2024-09-07 05:00:00,Alumbres,83.8,1.8,9,11.8,---,---,0.44,3.80,20.08,0.28,0.68,1.05
2024-09-07 06:00:00,Alumbres,85.8,1.6,8.8,11.3,---,---,0.45,3.20,24.52,0.27,0.65,0.98
