Date,Comunidad,O3,NO,NO2,NOx,NH3,NT,CO,SO2,PM10,Benceno,Tolueno,Xileno
2024-09-06 00:00:00,Caravaca,76.7,1.7,2.4,5,---,---,---,---,17.23,---,---,---
2024-09-06 01:00:00,Caravaca,75.6,1.6,2,4.4,---,---,---,---,15.73,---,---,---
2024-09-06 02:00:00,Caravaca,75.1,1.7,2.1,4.5,---,---,---,---,18.83,---,---,---
2024-09-06 03:00:00,Caravaca,75.2,1.5,2,3.9,---,---,---,---,16.03,---,---,---
2024-09-06 04:00:00,Caravaca,73.4,1.6,2,4.2,---,---,---,---,13.9,---,---,---
2024-09-06 05:00:00,Caravaca,71,1.7,2,4.2,---,---,---,---,13.22,---,---,---
2024-09-06 06:00:00,Caravaca,67,1.5,2.1,4.4,---,---,---,---,12.78,---,---,---
2024-09-06 07:00:00,Caravaca,66.4,1.6,2.1,4.5,---,---,---,---,12.68,---,---,---
2024-09-06 08:00:00,Caravaca,62.5,1.6,2.5,5,---,---,---,---,14.63,---,---,---
2024-09-06 09:00:00,Caravaca,68,1.8,2.4,5.1,---,---,---,---,15.62,---,---,---
2024-09-06 10:00:00,Caravaca,70,1.7,2.2,4.8,---,---,---,---,15.35,---,---,---
2024-09-06 11:00:00,Caravaca,70.7,1.8,2.6,5.3,---,---,---,---,14.43,---,---,---
2024-09-06 12:00:00,Caravaca,82.9,1.8,2.8,5.6,---,---,---,---,14.43,---,---,---
2024-09-06 13:00:00,Caravaca,89.9,1.7,2.5,5.1,---,---,---,---,14.98,---,---,---
2024-09-06 14:00:00,Caravaca,94.2,1.8,2.2,4.9,---,---,---,---,13.57,---,---,---
2024-09-06 15:00:00,Caravaca,94.3,1.7,2.3,4.7,---,---,---,---,10.38,---,---,---
2024-09-06 16:00:00,Caravaca,92.4,1.7,2.4,4.9,---,---,---,---,8.52,---,---,---
2024-09-06 17:00:00,Caravaca,92.4,1.9,2.6,5.4,---,---,---,---,10.02,---,---,---
2024-09-06 18:00:00,Caravaca,92.2,1.9,2.7,5.5,---,---,---,---,12.98,---,---,---
2024-09-06 19:00:00,Caravaca,91.9,1.7,2.8,5.5,---,---,---,---,15.43,---,---,---
2024-09-06 20:00:00,Caravaca,91.3,1.9,3.2,6.2,---,---,---,---,18.37,---,---,---
2024-09-06 21:00:00,Caravaca,88.7,1.7,3.1,5.7,---,---,---,---,21.92,---,---,---
2024-09-06 22:00:00,Caravaca,88,1.7,3.1,5.7,---,---,---,---,23,---,---,---
2024-09-06 23:00:00,Caravaca,75.5,1.7,4,6.5,---,---,---,---,23.32,---,---,---
2024-09-07 00:00:00,Caravaca,68.2,1.6,3.1,5.5,---,---,---,---,23.05,---,---,---
2024-09-07 01:00:00,Caravaca,79.7,1.8,2.9,5.6,---,---,---,---,20.27,---,---,---
2024-09-07 02:00:00,Caravaca,82.7,1.7,2.6,5.1,---,---,---,---,19.5,---,---,---
2024-09-07 03:00:00,Caravaca,73.9,1.7,2.7,5.2,---,---,---,---,19.33,---,---,---
2024-09-07 04:00:00,Caravaca,66.2,1.7,2.8,5.3,---,---,---,---,17.6,---,---,---
2024-09-07 05:00:00,Caravaca,52.9,1.6,2.6,5.1,---,---,---,---,17.1,---,---,---
2024-09-07 06:00:00,Caravaca,49.2,1.7,2.3,4.8,---,---,---,---,16.5,---,---,---
2024-09-07 07:00:00,Caravaca,55.3,1.7,2.3,4.8,---,---,---,---,13.63,---,---,---
2024-09-07 08:00:00,Caravaca,53.6,1.6,2.5,5,---,---,---,---,14.2,---,---,---
2024-09-07 09:00:00,Caravaca,51.9,1.7,2.3,4.9,---,---,---,---,15.68,---,---,---
2024-09-07 10:00:00,Caravaca,60.1,1.8,3,5.8,---,---,---,---,14.88,---,---,---
2024-09-07 11:00:00,Caravaca,67.4,1.8,4,6.8,---,---,---,---,16.6,---,---,---
2024-09-07 12:00:00,Caravaca,73.8,2,4,7.1,---,---,---,---,18.87,---,---,---
2024-09-07 13:00:00,Caravaca,71.6,1.8,3.5,6.2,---,---,---,---,18.53,---,---,---
2024-09-07 14:00:00,Caravaca,72.8,1.8,3.5,6.3,---,---,---,---,17,---,---,---
2024-09-07 15:00:00,Caravaca,75.7,1.8,3.3,6,---,---,---,---,15.35,---,---,---
2024-09-07 16:00:00,Caravaca,---,---,---,---,---,---,---,---,---,---,---,---
2024-09-07 17:00:00,Caravaca,81.8,1.7,2.4,5,---,---,---,---,25.82,---,---,---
2024-09-07 18:00:00,Caravaca,87.1,1.7,2.6,5.1,---,---,---,---,28,---,---,---
2024-09-07 19:00:00,Caravaca,93,1.7,3.3,5.8,---,---,---,---,27.35,---,---,---
2024-09-07 20:00:00,Caravaca,93.3,1.9,4,6.8,---,---,---,---,26.27,---,---,---
2024-09-07 21:00:00,Caravaca,68.2,1.7,2.5,4.9,---,---,---,---,28.43,---,---,---
2024-09-07 22:00:00,Caravaca,58.2,1.6,2.2,4.4,---,---,---,---,37.27,---,---,---
2024-09-07 23:00:00,Caravaca,51.8,1.6,2.1,4.5,---,---,---,---,46.53,---,---,---
2024-09-08 00:00:00,Caravaca,51.9,1.6,2.5,5,---,---,---,---,51.72,---,---,---
2024-09-08 01:00:00,Caravaca,56.6,1.6,2.4,4.8,---,---,---,---,50.92,---,---,---
2024-09-08 02:00:00,Caravaca,57.4,1.7,2.2,4.8,---,---,---,---,48.78,---,---,---
2024-09-08 03:00:00,Caravaca,62.7,1.6,2,4.1,---,---,---,---,42.65,---,---,---
2024-09-08 04:00:00,Caravaca,62.9,1.7,2,4.2,---,---,---,---,32.85,---,---,---
2024-09-08 05:00:00,Caravaca,53,1.6,2.7,5.2,---,---,---,---,25.15,---,---,---
2024-09-08 06:00:00,Caravaca,49.9,1.7,2.8,5.3,---,---,---,---,19.17,---,---,---
2024-09-08 07:00:00,Caravaca,44.6,1.6,3.6,6.1,---,---,---,---,15.92,---,---,---
2024-09-08 08:00:00,Caravaca,45.5,1.7,3.7,6.3,---,---,---,---,16.07,---,---,---
2024-09-08 09:00:00,Caravaca,45.9,1.6,4,6.5,---,---,---,---,13.5,---,---,---
2024-09-08 10:00:00,Caravaca,52.8,1.7,2.4,5,---,---,---,---,12.6,---,---,---
2024-09-08 11:00:00,Caravaca,54.9,1.8,2.6,5.3,---,---,---,---,14.52,---,---,---
2024-09-08 12:00:00,Caravaca,58.4,1.8,3,5.7,---,---,---,---,18.23,---,---,---
2024-09-08 13:00:00,Caravaca,63.8,2.2,3.9,7.2,---,---,---,---,19.5,---,---,---
2024-09-08 14:00:00,Caravaca,68.5,2,3.4,6.5,---,---,---,---,26.5,---,---,---
2024-09-08 15:00:00,Caravaca,68.8,1.8,3.5,6.2,---,---,---,---,32.88,---,---,---
2024-09-08 16:00:00,Caravaca,71.4,1.9,2.7,5.5,---,---,---,---,36.48,---,---,---
2024-09-08 17:00:00,Caravaca,80.2,1.8,2.9,5.7,---,---,---,---,39,---,---,---
2024-09-08 18:00:00,Caravaca,84.6,1.9,3.2,6,---,---,---,---,38.22,---,---,---
2024-09-08 19:00:00,Caravaca,77,1.7,2.1,4.2,---,---,---,---,40.23,---,---,---
2024-09-08 20:00:00,Caravaca,74.8,2.2,2,5,---,---,---,---,64.45,---,---,---
2024-09-08 21:00:00,Caravaca,73.4,1.7,2,4.3,---,---,---,---,97.4,---,---,---
2024-09-08 22:00:00,Caravaca,74.1,1.7,2.5,5.1,---,---,---,---,118.47,---,---,---
2024-09-08 23:00:00,Caravaca,71.2,1.6,2,4.2,---,---,---,---,111.1,---,---,---
2024-09-09 00:00:00,Caravaca,76.6,1.5,2,4.2,---,---,---,---,90.28,---,---,---
2024-09-09 01:00:00,Caravaca,75.2,1.7,2,4.4,---,---,---,---,70.27,---,---,---
2024-09-09 02:00:00,Caravaca,81.8,1.5,2.1,4.5,---,---,---,---,52.72,---,---,---
2024-09-09 03:00:00,Caravaca,79,1.6,2.3,4.7,---,---,---,---,37,---,---,---
2024-09-09 04:00:00,Caravaca,75.6,1.6,2.4,4.8,---,---,---,---,26.37,---,---,---
2024-09-09 05:00:00,Caravaca,73.3,1.7,2.1,4.6,---,---,---,---,20.58,---,---,---
2024-09-09 06:00:00,Caravaca,71.4,1.6,2.1,4.6,---,---,---,---,13.45,---,---,---
2024-09-09 07:00:00,Caravaca,60.3,1.6,3.8,6.3,---,---,---,---,10.57,---,---,---
2024-09-09 08:00:00,Caravaca,67.3,1.6,2.6,5,---,---,---,---,10,---,---,---
2024-09-09 09:00:00,Caravaca,70.1,1.7,2.8,5.3,---,---,---,---,9.93,---,---,---
2024-09-09 10:00:00,Caravaca,80,1.8,2.2,4.8,---,---,---,---,10.37,---,---,---
2024-09-09 11:00:00,Caravaca,82.3,1.6,2.8,5.2,---,---,---,---,11.12,---,---,---
2024-09-09 12:00:00,Caravaca,83.8,1.9,3.6,6.5,---,---,---,---,11.18,---,---,---
2024-09-09 13:00:00,Caravaca,86.5,1.7,3.1,5.8,---,---,---,---,9.47,---,---,---
2024-09-09 14:00:00,Caravaca,89.3,1.8,3.3,6,---,---,---,---,8.93,---,---,---
2024-09-09 15:00:00,Caravaca,92.4,1.7,2.7,5.2,---,---,---,---,8.2,---,---,---
2024-09-09 16:00:00,Caravaca,93.6,1.7,2.2,4.7,---,---,---,---,7.45,---,---,---
2024-09-09 17:00:00,Caravaca,95.5,1.6,2,4.2,---,---,---,---,7.78,---,---,---
2024-09-09 18:00:00,Caravaca,96.2,1.5,2.1,4.3,---,---,---,---,6.77,---,---,---
2024-09-09 19:00:00,Caravaca,98.3,1.7,2.3,4.8,---,---,---,---,6.25,---,---,---
2024-09-09 20:00:00,Caravaca,99.7,1.7,2.5,4.9,---,---,---,---,5.05,---,---,---
2024-09-09 21:00:00,Caravaca,92.4,2,4.2,7.3,---,---,---,---,7.78,---,---,---
2024-09-09 22:00:00,Caravaca,87.2,1.6,3.3,5.7,---,---,---,---,12.45,---,---,---
2024-09-09 23:00:00,Caravaca,87.7,1.6,2.3,4.8,---,---,---,---,16.25,---,---,---
2024-09-10 00:00:00,Caravaca,87,1.5,2.2,4.6,---,---,---,---,19.67,---,---,---
2024-09-10 01:00:00,Caravaca,77.9,1.7,2.3,4.8,---,---,---,---,19.98,---,---,---
2024-09-10 02:00:00,Caravaca,74.6,1.6,2.5,5,---,---,---,---,19.27,---,---,---
2024-09-10 03:00:00,Caravaca,74.4,1.7,2.9,5.4,---,---,---,---,17.62,---,---,---
2024-09-10 04:00:00,Caravaca,68.5,1.6,3.3,5.8,---,---,---,---,17.47,---,---,---
2024-09-10 05:00:00,Caravaca,65.3,1.6,2.8,5.2,---,---,---,---,17.75,---,---,---
2024-09-10 06:00:00,Caravaca,68.7,1.6,2.8,5.1,---,---,---,---,16.97,---,---,---
2024-09-10 07:00:00,Caravaca,66,1.6,3.1,5.4,---,---,---,---,15.3,---,---,---
2024-09-10 08:00:00,Caravaca,68.5,1.5,3.3,5.6,---,---,---,---,15.4,---,---,---
2024-09-10 09:00:00,Caravaca,59.9,1.8,6.6,9.2,---,---,---,---,14.57,---,---,---
2024-09-10 10:00:00,Caravaca,54.7,3.2,11,15.8,---,---,---,---,15.82,---,---,---
2024-09-10 11:00:00,Caravaca,64.1,3.2,11.2,16.1,---,---,---,---,20.57,---,---,---
2024-09-10 12:00:00,Caravaca,73.5,2.1,5.9,9.2,---,---,---,---,22.27,---,---,---
2024-09-10 13:00:00,Caravaca,84.2,1.7,3.5,6.1,---,---,---,---,19.73,---,---,---
2024-09-10 14:00:00,Caravaca,91.9,1.7,3.3,6,---,---,---,---,17.95,---,---,---
2024-09-10 15:00:00,Caravaca,98.4,1.7,2.7,5.3,---,---,---,---,15.93,---,---,---
2024-09-10 16:00:00,Caravaca,101.8,1.7,2.5,5,---,---,---,---,14.28,---,---,---
2024-09-10 17:00:00,Caravaca,104,1.6,2.4,4.9,---,---,---,---,14.03,---,---,---
2024-09-10 18:00:00,Caravaca,109.6,1.7,2.6,5.1,---,---,---,---,16.6,---,---,---
2024-09-10 19:00:00,Caravaca,114.1,1.6,2.7,5.2,---,---,---,---,19.42,---,---,---
2024-09-10 20:00:00,Caravaca,110.6,1.7,3.7,6.3,---,---,---,---,18.92,---,---,---
2024-09-10 21:00:00,Caravaca,97.2,1.9,5.6,8.5,---,---,---,---,20.68,---,---,---
2024-09-10 22:00:00,Caravaca,97.6,1.6,2.6,5.1,---,---,---,---,20.8,---,---,---
2024-09-10 23:00:00,Caravaca,102.3,1.5,2.1,4.3,---,---,---,---,19.25,---,---,---
2024-09-11 00:00:00,Caravaca,103.1,1.7,2.2,4.7,---,---,---,---,18.08,---,---,---
2024-09-11 01:00:00,Caravaca,---,---,---,---,---,---,---,---,---,---,---,---
2024-09-11 02:00:00,Caravaca,76.5,1.9,5.5,8.4,---,---,---,---,15.98,---,---,---
2024-09-11 03:00:00,Caravaca,75.9,1.6,2.8,5.2,---,---,---,---,19.53,---,---,---
2024-09-11 04:00:00,Caravaca,75.7,1.7,3.2,5.7,---,---,---,---,19.77,---,---,---
2024-09-11 05:00:00,Caravaca,67.1,1.6,3,5.4,---,---,---,---,18.1,---,---,---
2024-09-11 06:00:00,Caravaca,70.8,1.6,3.1,5.6,---,---,---,---,18.73,---,---,---
2024-09-11 07:00:00,Caravaca,67.9,1.7,3.2,5.7,---,---,---,---,18.08,---,---,---
2024-09-11 08:00:00,Caravaca,67.4,1.7,3,5.6,---,---,---,---,18.35,---,---,---
2024-09-11 09:00:00,Caravaca,69.7,1.8,4.8,7.6,---,---,---,---,18.52,---,---,---
2024-09-11 10:00:00,Caravaca,79.1,2,7.1,10.1,---,---,---,---,20.6,---,---,---
2024-09-11 11:00:00,Caravaca,94.4,1.7,3.1,5.7,---,---,---,---,22.75,---,---,---
2024-09-11 12:00:00,Caravaca,95,1.8,3.4,6.1,---,---,---,---,22.23,---,---,---
2024-09-11 13:00:00,Caravaca,97.1,1.9,3.7,6.5,---,---,---,---,21.23,---,---,---
2024-09-11 14:00:00,Caravaca,96.6,1.8,3.6,6.3,---,---,---,---,21.15,---,---,---
2024-09-11 15:00:00,Caravaca,96.4,1.7,2.7,5.3,---,---,---,---,17.1,---,---,---
2024-09-11 16:00:00,Caravaca,100.3,1.7,2.3,4.8,---,---,---,---,14.93,---,---,---
2024-09-11 17:00:00,Caravaca,102.5,1.6,2.1,4.4,---,---,---,---,14.13,---,---,---
2024-09-11 18:00:00,Caravaca,101.6,1.6,2.6,5.1,---,---,---,---,13.28,---,---,---
2024-09-11 19:00:00,Caravaca,101.1,2,4.2,7.3,---,---,---,---,14.2,---,---,---
2024-09-11 20:00:00,Caravaca,98.8,1.9,3.5,6.3,---,---,---,---,17.53,---,---,---
2024-09-11 21:00:00,Caravaca,98.5,1.7,3.5,6.1,---,---,---,---,21.95,---,---,---
2024-09-11 22:00:00,Caravaca,94.7,1.6,2.8,5.3,---,---,---,---,22.12,---,---,---
2024-09-11 23:00:00,Caravaca,93.1,1.6,2.7,5.1,---,---,---,---,19.27,---,---,---
2024-09-12 00:00:00,Caravaca,85,1.6,2.9,5.4,---,---,---,---,19.25,---,---,---
2024-09-12 01:00:00,Caravaca,79.9,1.6,3.5,5.9,---,---,---,---,17.9,---,---,---
2024-09-12 02:00:00,Caravaca,69.6,1.7,5.4,7.9,---,---,---,---,17.62,---,---,---
2024-09-12 03:00:00,Caravaca,68.7,1.6,3.3,5.7,---,---,---,---,16.82,---,---,---
2024-09-12 04:00:00,Caravaca,64.4,1.5,3.3,5.5,---,---,---,---,17.97,---,---,---
2024-09-12 05:00:00,Caravaca,75.4,1.6,2.5,4.9,---,---,---,---,17.5,---,---,---
2024-09-12 06:00:00,Caravaca,78.5,1.6,2.3,4.8,---,---,---,---,16.67,---,---,---
2024-09-12 07:00:00,Caravaca,75.5,1.5,2.7,5.1,---,---,---,---,16.35,---,---,---
2024-09-12 08:00:00,Caravaca,68,1.6,2.4,4.9,---,---,---,---,16.03,---,---,---
2024-09-12 09:00:00,Caravaca,67,1.6,2.9,5.4,---,---,---,---,15.58,---,---,---
2024-09-12 10:00:00,Caravaca,56.1,3.5,10.4,15.7,---,---,---,---,17.92,---,---,---
2024-09-12 11:00:00,Caravaca,72.2,3,9.5,14.1,---,---,---,---,22.62,---,---,---
2024-09-12 12:00:00,Caravaca,83.1,2.1,4.7,7.8,---,---,---,---,24.55,---,---,---
2024-09-12 13:00:00,Caravaca,84.9,1.8,3.6,6.3,---,---,---,---,21.72,---,---,---
2024-09-12 14:00:00,Caravaca,87.2,1.7,2.6,5.2,---,---,---,---,20.95,---,---,---
2024-09-12 15:00:00,Caravaca,88.2,1.7,2.8,5.4,---,---,---,---,17.98,---,---,---
