Date,Comunidad,O3,NO,NO2,NOx,NH3,NT,CO,SO2,PM10,Benceno,Tolueno,Xileno
2024-09-06 00:00:00,Valle,81.5,1.7,7,9.6,---,---,0.07,19.10,7.95,---,---,---
2024-09-06 01:00:00,Valle,84.7,1.5,6.8,9.2,---,---,0.07,28.20,7.13,---,---,---
2024-09-06 02:00:00,Valle,81.2,2.2,9.4,12.7,---,---,0.07,37.80,8.02,---,---,---
2024-09-06 03:00:00,Valle,84.3,2.2,6.3,9.7,---,---,0.06,33.20,8.95,---,---,---
2024-09-06 04:00:00,Valle,86,1.8,4.3,6.9,---,---,0.07,19.60,8.97,---,---,---
2024-09-06 05:00:00,Valle,85.1,1.8,5,7.8,---,---,0.07,15.60,9.68,---,---,---
2024-09-06 06:00:00,Valle,85.5,1.3,4.4,6.3,---,---,0.06,6.80,11.22,---,---,---
2024-09-06 07:00:00,Valle,72.4,1.2,6.4,8.2,---,---,0.08,5.30,11.17,---,---,---
2024-09-06 08:00:00,Valle,37.3,13.3,39.6,59.8,---,---,0.09,4.10,16.18,---,---,---
2024-09-06 09:00:00,Valle,22.1,15.6,57.4,81.4,---,---,0.12,4.80,30.4,---,---,---
2024-09-06 10:00:00,Valle,55.9,6.7,35.9,46.1,---,---,0.10,5.50,80.95,---,---,---
2024-09-06 11:00:00,Valle,70.3,4.5,27,34,---,---,0.08,8.60,68.08,---,---,---
2024-09-06 12:00:00,Valle,89.3,1.7,6.3,8.9,---,---,0.07,5.20,16.88,---,---,---
2024-09-06 13:00:00,Valle,87.7,1.4,4.3,6.5,---,---,0.06,4.30,12.85,---,---,---
2024-09-06 14:00:00,Valle,86.6,1.7,4.2,6.8,---,---,0.05,4,12.53,---,---,---
2024-09-06 15:00:00,Valle,87,1.3,3.1,5,---,---,0.05,5.20,13.68,---,---,---
2024-09-06 16:00:00,Valle,96,1.1,2.7,4.5,---,---,0.04,6,10.7,---,---,---
2024-09-06 17:00:00,Valle,99,1.1,3,4.7,---,---,0.04,6.80,10.8,---,---,---
2024-09-06 18:00:00,Valle,93.4,1.2,3.7,5.5,---,---,0.04,7.70,11.77,---,---,---
2024-09-06 19:00:00,Valle,87.4,1.1,2.4,3.8,---,---,0.04,8.10,12.45,---,---,---
2024-09-06 20:00:00,Valle,84.7,1.1,4.5,6,---,---,0.04,7.90,11.45,---,---,---
2024-09-06 21:00:00,Valle,90.3,1.1,2.4,3.9,---,---,0.04,7.10,11.63,---,---,---
2024-09-06 22:00:00,Valle,94.7,1,2.1,3.4,---,---,0.05,9.40,12.13,---,---,---
2024-09-06 23:00:00,Valle,98.7,1,3.2,4.4,---,---,0.06,12.20,11.67,---,---,---
2024-09-07 00:00:00,Valle,101,1,2.6,3.8,---,---,0.06,13.40,11.98,---,---,---
2024-09-07 01:00:00,Valle,102.4,1,3.5,5,---,---,0.05,13.80,12.37,---,---,---
2024-09-07 02:00:00,Valle,101,1,4.1,5.4,---,---,0.06,15.20,13.63,---,---,---
2024-09-07 03:00:00,Valle,102.6,1,3.2,4.5,---,---,0.07,15.60,16.32,---,---,---
2024-09-07 04:00:00,Valle,95.7,1,4.7,6.2,---,---,0.08,15.70,18.52,---,---,---
2024-09-07 05:00:00,Valle,88.1,1,5.3,6.9,---,---,0.09,17.90,19.18,---,---,---
2024-09-07 06:00:00,Valle,89.5,1,4.8,6.2,---,---,0.08,16.60,19.13,---,---,---
2024-09-07 07:00:00,Valle,92.9,1,4.1,5.5,---,---,0.08,17.60,18.97,---,---,---
2024-09-07 08:00:00,Valle,95.8,1,3.7,5,---,---,0.09,19.50,18.87,---,---,---
2024-09-07 09:00:00,Valle,94.6,1,3.7,5.1,---,---,0.09,18.80,18.93,---,---,---
