Date,Transparency
2016-08-08,-1.1385887
2016-08-09,-2.1039925
2016-08-12,-1.4044251
2016-08-16,-1.17091
2016-08-22,-0.8019798
2016-08-30,-1.016978
2016-09-09,-1.1229407
2016-09-12,-2.2272213
2016-09-14,-0.89270866
2016-09-21,-0.75789356
2016-09-26,-0.7975777
2016-10-03,-0.79570395
2016-10-05,-1.0209615
2016-10-11,-0.80433416
2016-10-17,-0.7596062
2016-10-24,-1.032961
2016-11-09,-1.1581557
2016-11-17,-1.2439063
2016-11-24,-2.668052
2016-11-29,-1.2437475
2016-12-14,-1.9904383
2016-12-21,-0.80913603
2016-12-29,-1.1165333
2017-01-04,-1.314479
2017-01-13,-1.2307115
2017-01-25,-0.83181053
2017-02-01,-2.331272
2017-02-07,-1.1913875
2017-02-14,-1.8123395
2017-02-15,-2.760196
2017-02-28,-3.1476183
2017-03-07,-2.189326
2017-03-21,-2.406089
2017-03-28,-2.5651436
2017-04-25,-4.072535
2017-05-11,-5.8306932
2017-05-12,-2.962846
2017-05-18,-3.7951787
2017-05-31,-4.3335543
2017-06-06,-3.2438877
2017-06-14,-4.036072
2017-06-23,-3.071375
2017-06-27,-3.879606
2017-07-06,-3.649545
2017-07-11,-3.8088055
2017-07-19,-3.2835937
2017-07-28,-3.823113
2017-07-31,-2.5054584
2017-08-08,-1.6719053
2017-08-18,-1.0806869
2017-08-24,-0.97073877
2017-08-29,-0.96633846
2017-09-06,-0.96687114
2017-09-14,-1.0625215
2017-09-20,-0.9771757
2017-09-29,-0.96007377
2017-10-05,-0.94673425
2017-10-10,-1.08188
2017-10-19,-0.79657024
2017-10-25,-1.2204354
2017-10-31,-1.08441
2017-11-08,-0.9434
2017-11-16,-0.93008465
2017-11-21,-0.97093695
2017-11-29,-1.094198
2017-12-05,-1.021233
2017-12-14,-1.2130454
2017-12-21,-1.5117486
2017-12-26,-1.4820209
2018-01-10,-1.9302832
2018-01-17,-2.0846865
2018-01-24,-2.3313394
2018-02-01,-1.6189703
2018-02-08,-2.3196034
2018-02-14,-1.7630519
2018-02-22,-1.8123296
2018-03-02,-1.7479293
2018-03-08,-1.8771455
2018-03-15,-1.3400888
2018-03-21,-1.6452477
2018-03-27,-1.5076491
2018-04-04,-2.3616724
2018-04-13,-1.9590008
2018-04-18,-3.221072
2018-05-02,-3.060863
2018-05-11,-3.1492832
2018-05-16,-3.5714033
2018-05-23,-4.047324
2018-05-29,-3.5908873
2018-06-07,-3.6210067
2018-06-14,-4.214709
2018-06-22,-4.259057
2018-06-29,-3.5155861
2018-07-04,-3.2798343
2018-07-12,-3.813566
2018-07-20,-2.9888098
2018-07-24,-3.1639884
2018-08-01,-3.0280538
2018-08-07,-3.4430823
2018-08-16,-4.3216405
2018-08-23,-4.548832
2018-08-30,-3.4264965
2018-09-06,-2.9774513
2018-09-14,-3.5541933
2018-09-20,-3.6268272
2018-09-26,-2.940477
2018-10-04,-3.9058392
2018-10-10,-4.153188
2018-10-18,-4.5029016
2018-10-23,-2.9850998
2018-10-31,-4.0027275
2018-11-08,-3.575831
2018-11-16,-3.4188817
2018-11-21,-2.4608173
2018-11-30,-4.510567
2018-12-03,-4.753632
2018-12-12,-4.5073285
2018-12-18,-4.1057057
2019-01-09,-4.921677
2019-01-17,-4.607551
2019-01-25,-4.6679068
2019-02-06,-2.2523594
2019-02-14,-4.705145
2019-02-21,-4.64527
2019-03-01,-4.487328
2019-03-07,-3.035514
2019-03-14,-3.947051
2019-03-20,-3.098748
2019-03-25,-3.9350822
2019-04-05,-4.172479
2019-04-12,-4.731317
2019-04-17,-3.293268
2019-04-29,-2.9138153
2019-05-06,-3.3082526
2019-05-14,-2.8091078
2019-05-23,-2.3161898
2019-05-28,-2.0460122
2019-06-07,-2.1954267
2019-06-11,-2.36961
2019-06-21,-2.6361318
2019-06-26,-2.3657184
2019-07-03,-2.4984198
2019-07-12,-3.0459368
2019-07-16,-3.305423
2019-07-25,-3.0748103
2019-07-30,-2.9943829
2019-08-08,-2.7624295
2019-08-14,-2.3555427
2019-08-20,-2.4651766
2019-08-28,-2.1597989
2019-09-04,-2.3340774
2019-09-10,-2.343794
2019-09-18,-0.790995
2019-09-27,-2.94016
2019-10-01,-2.222956
2019-10-07,-1.8523002
2019-10-16,-0.9497677
2019-10-21,-1.2130433
2019-10-29,-0.9986867
2019-11-04,-0.92147046
2019-11-15,-0.7249546
2019-11-26,-1.1943524
2019-12-05,-0.5825648
2019-12-11,-1.1863031
2019-12-19,-1.6182004
2019-12-27,-1.6741068
2020-01-08,-3.290057
