CodPuntoControl,Latitud,Longitud,Nombre
06Z01,37.630627777777775,-0.7775361111111112,Sondeo01
06Z02,37.642525,-0.7771361111111111,Sondeo02
06Z03,37.65435,-0.8483083333333333,Sondeo03
06Z05,37.68504722222222,-0.8699583333333334,Sondeo05
06Z06,37.70567777777778,-0.8639111111111111,Sondeo06
06Z07,37.710350000000005,-0.8877999999999999,Sondeo07
06Z08,37.75114444444444,-0.8827694444444445,Sondeo08
06Z09,37.74528055555556,-0.8678,Sondeo09
06Z10,37.76184722222222,-0.8672333333333334,Sondeo10
06Z11,37.754330555555555,-0.8587416666666666,Sondeo11
06Z12,37.77551944444444,-0.8513444444444445,Sondeo12
06Z13,37.76968055555555,-0.8384333333333334,Sondeo13
06Z14,37.788333333333334,-0.8386694444444445,Sondeo14
06Z15,37.78021388888889,-0.8301472222222223,Sondeo15
06Z16,37.81820277777778,-0.8285361111111111,Sondeo16
06Z17,37.80593611111111,-0.8167194444444444,Sondeo17
06Z18,37.824783333333336,-0.8164583333333334,Sondeo18
06Z19,37.81788055555556,-0.8084861111111111,Sondeo19
06Z20,37.835030555555555,-0.8023027777777778,Sondeo20
