Date,Comunidad,O3,NO,NO2,NOx,NH3,NT,CO,SO2,PM10,Benceno,Tolueno,Xileno
2024-09-06 00:00:00,Alcantarilla,78.3,1,3.6,4.8,---,---,---,3.80,9.82,0.20,0.47,0.20
2024-09-06 01:00:00,Alcantarilla,80.3,1,2.4,3.3,---,---,---,3.90,9.2,0.20,0.53,0.20
2024-09-06 02:00:00,Alcantarilla,75.4,1,2.9,4.1,---,---,---,3.90,8.85,0.17,0.65,0.20
2024-09-06 03:00:00,Alcantarilla,71.1,1,3.2,4.5,---,---,---,3.90,9.5,0.20,0.58,0.22
2024-09-06 04:00:00,Alcantarilla,58.6,1,6.3,7.8,---,---,---,3.90,9.95,0.20,1.48,0.32
2024-09-06 05:00:00,Alcantarilla,57.5,1,5.8,7.2,---,---,---,4,9.98,0.20,2.27,0.48
2024-09-06 06:00:00,Alcantarilla,55.3,1.1,8.7,10.4,---,---,---,3.90,10.53,0.20,0.75,2.18
2024-09-06 07:00:00,Alcantarilla,27.3,1.8,25.6,28.4,---,---,---,3.90,30.33,0.20,0.58,1.83
2024-09-06 08:00:00,Alcantarilla,13.4,5.9,42.9,51.9,---,---,---,4,45.43,0.20,0.53,0.95
2024-09-06 09:00:00,Alcantarilla,16.6,10.8,47.4,63.9,---,---,---,4,75.17,0.22,0.43,1.05
2024-09-06 10:00:00,Alcantarilla,39.7,6.1,33.2,42.5,---,---,---,3.90,33.35,0.20,0.50,1.27
2024-09-06 11:00:00,Alcantarilla,72.1,2.8,13.2,17.4,---,---,---,3.90,26.32,0.27,0.85,0.83
2024-09-06 12:00:00,Alcantarilla,85.7,1.4,4.9,7.1,---,---,---,3.90,21.07,0.20,0.47,0.30
2024-09-06 13:00:00,Alcantarilla,94.1,1.2,3.9,5.7,---,---,---,3.90,20.42,0.20,0.27,0.20
2024-09-06 14:00:00,Alcantarilla,96.9,1.1,3,4.6,---,---,---,3.90,21.45,0.18,0.15,0.20
2024-09-06 15:00:00,Alcantarilla,97,1.1,2.9,4.4,---,---,---,3.90,18.92,0.17,0.10,0.20
2024-09-06 16:00:00,Alcantarilla,95.8,1.2,3.1,4.9,---,---,---,3.90,20.77,0.20,0.07,0.20
2024-09-06 17:00:00,Alcantarilla,93.9,1.3,4.3,6.2,---,---,---,3.80,30.45,0.22,0.13,0.20
2024-09-06 18:00:00,Alcantarilla,93.9,1.3,4.8,6.7,---,---,---,3.90,34.27,0.20,0.13,0.20
2024-09-06 19:00:00,Alcantarilla,95.1,1.3,5.5,7.4,---,---,---,3.90,31.4,0.20,0.05,0.20
