Date,Comunidad,O3,NO,NO2,NOx,NH3,NT,CO,SO2,PM10,Benceno,Tolueno,Xileno
2024-09-06 00:00:00,Aljorra,60.2,1.3,8,9.9,---,---,---,1.70,17.95,0.20,0.30,0.30
2024-09-06 01:00:00,Aljorra,54.8,1.3,9,11,---,---,---,1.70,27.99,0.20,0.32,0.30
2024-09-06 02:00:00,Aljorra,54,1.4,7.4,9.5,---,---,---,1.60,13.96,0.20,0.30,0.30
2024-09-06 03:00:00,Aljorra,60,1.3,5.3,7.3,---,---,---,1.60,10.57,0.20,2.24,0.30
2024-09-06 04:00:00,Aljorra,66,1.2,3.3,5.1,---,---,---,1.60,13.28,0.20,0.64,0.30
2024-09-06 05:00:00,Aljorra,52.2,1.2,4.4,6.3,---,---,---,1.60,12.43,0.20,2.34,0.30
2024-09-06 06:00:00,Aljorra,52.2,1.3,5.6,7.6,---,---,---,1.70,11.3,0.20,0.40,0.30
2024-09-06 07:00:00,Aljorra,46.6,1.3,10.6,12.6,---,---,---,1.60,13.56,0.20,1.80,0.30
2024-09-06 08:00:00,Aljorra,33,2,19.4,22.5,---,---,---,1.70,27.96,0.26,1.86,0.50
2024-09-06 09:00:00,Aljorra,23,7.9,35.4,47.6,---,---,---,1.90,57.09,0.20,1.02,0.32
2024-09-06 10:00:00,Aljorra,67.4,2.9,14.6,19.1,---,---,---,1.90,59.84,0.20,0.68,0.34
2024-09-06 11:00:00,Aljorra,88.6,2.2,5.4,8.7,---,---,---,1.60,27.53,0.20,1.10,0.30
2024-09-06 12:00:00,Aljorra,94,2.5,5.7,9.6,---,---,---,1.60,26.26,0.20,0.34,0.30
2024-09-06 13:00:00,Aljorra,95.4,2.2,3,6.4,---,---,---,1.50,18.88,0.20,0.36,0.30
2024-09-06 14:00:00,Aljorra,95.6,2.6,2.5,6.2,---,---,---,1.60,20.15,0.20,0.30,0.30
2024-09-06 15:00:00,Aljorra,95.6,2,2.8,5.6,---,---,---,1.70,24.72,0.20,0.30,0.30
2024-09-06 16:00:00,Aljorra,95.6,2.1,2.2,5.2,---,---,---,1.70,20.42,0.20,0.30,0.30
2024-09-06 17:00:00,Aljorra,98.6,1.8,2.7,5.1,---,---,---,1.60,40.07,0.20,0.30,0.30
2024-09-06 18:00:00,Aljorra,108.4,2,3.1,6.2,---,---,---,1.70,18.58,0.20,0.30,0.30
2024-09-06 19:00:00,Aljorra,102.4,2,2.2,5.2,---,---,---,1.60,17.34,0.20,0.30,0.30
2024-09-06 20:00:00,Aljorra,95.4,2.4,3.1,6.7,---,---,---,1.60,14.52,0.20,0.30,0.30
2024-09-06 21:00:00,Aljorra,87,2.6,8.1,12.1,---,---,---,1.70,17.81,0.20,0.30,0.30
2024-09-06 22:00:00,Aljorra,92.2,2.5,5.9,9.6,---,---,---,1.80,17.21,0.20,0.30,0.30
2024-09-06 23:00:00,Aljorra,91.2,2,4,7.1,---,---,---,1.60,17.51,0.24,0.74,0.64
2024-09-07 00:00:00,Aljorra,96,1.5,3,5.4,---,---,---,1.20,14.7,0.20,0.30,0.30
2024-09-07 01:00:00,Aljorra,93.4,1.8,4.6,7.4,---,---,---,1.60,14.39,0.20,0.30,0.30
2024-09-07 02:00:00,Aljorra,90.6,1.2,3.9,5.8,---,---,---,1.60,16.76,0.20,0.30,0.30
2024-09-07 03:00:00,Aljorra,97.2,1.2,3.3,5.2,---,---,---,1.60,18.49,0.20,0.30,0.30
2024-09-07 04:00:00,Aljorra,86.4,1.3,3.5,5.4,---,---,---,1.60,19.69,0.20,0.30,0.30
2024-09-07 05:00:00,Aljorra,80.2,1.2,3.6,5.4,---,---,---,1.60,20.64,0.20,0.30,0.30
2024-09-07 06:00:00,Aljorra,71.2,1.3,3.2,5.2,---,---,---,1.60,32.73,0.20,0.30,0.30
2024-09-07 07:00:00,Aljorra,51.8,1.4,8.5,10.6,---,---,---,1.60,23.44,0.20,0.36,0.30
2024-09-07 08:00:00,Aljorra,46,1.5,11.4,13.6,---,---,---,1.70,31.07,0.20,0.68,0.56
2024-09-07 09:00:00,Aljorra,56,2,9,12.1,---,---,---,1.70,46.09,0.20,0.30,0.30
2024-09-07 10:00:00,Aljorra,66.2,2.7,8.4,12.6,---,---,---,1.70,33.7,0.20,0.30,0.30
2024-09-07 11:00:00,Aljorra,87.6,1.5,4.2,6.6,---,---,---,1.70,23.12,0.20,0.30,0.30
2024-09-07 12:00:00,Aljorra,93.4,1.7,3.1,5.7,---,---,---,1.60,22.13,0.20,0.30,0.30
2024-09-07 13:00:00,Aljorra,99.8,1.7,3.4,6.1,---,---,---,1.70,30.74,0.20,0.30,0.30
