Date,Transparency
2016-08-08,-0.9422621
2016-08-09,-3.0503173
2016-08-12,-1.3180565
2016-08-16,-1.38753
2016-08-22,-1.027317
2016-08-30,-0.9829119
2016-09-09,-1.2126209
2016-09-12,-1.5766333
2016-09-14,-2.278017
2016-09-21,-0.93740773
2016-09-26,-0.99072653
2016-10-03,-0.97156584
2016-10-05,-1.1696857
2016-10-11,-0.98049647
2016-10-17,-1.0457141
2016-10-24,-1.137629
2016-11-09,-1.5170327
2016-11-17,-1.3107098
2016-11-24,-1.4875077
2016-11-29,-1.4364878
2016-12-14,-1.9539466
2016-12-21,-1.1899205
2016-12-29,-1.0035517
2017-01-04,-1.1423203
2017-01-13,-1.3175125
2017-01-25,-1.2870452
2017-02-01,-2.2988682
2017-02-07,-1.5540143
2017-02-14,-1.1291765
2017-02-15,-5.605816
2017-02-28,-2.1323278
2017-03-07,-2.1810272
2017-03-21,-2.4437857
2017-03-28,-2.8853176
2017-04-25,-3.0454454
2017-05-11,-3.3876226
2017-05-12,-2.872508
2017-05-18,-5.799114
2017-05-31,-5.0849614
2017-06-06,-5.5651135
2017-06-14,-5.581543
2017-06-23,-5.355816
2017-06-27,-4.1460185
2017-07-06,-4.221904
2017-07-11,-3.3026621
2017-07-19,-4.514701
2017-07-28,-5.6608524
2017-07-31,-4.8065352
2017-08-08,-2.4044063
2017-08-18,-1.1215289
2017-08-24,-1.2931273
2017-08-29,-1.1006494
2017-09-06,-0.9228482
2017-09-14,-1.5674789
2017-09-20,-1.1892693
2017-09-29,-0.9088983
2017-10-05,-1.138919
2017-10-10,-1.1090193
2017-10-19,-1.2861193
2017-10-25,-1.4835875
2017-10-31,-1.3525966
2017-11-08,-1.1888777
2017-11-16,-0.9920447
2017-11-21,-0.966995
2017-11-29,-1.5496734
2017-12-05,-1.2685063
2017-12-14,-1.3112029
2017-12-21,-1.7023815
2017-12-26,-1.5406508
2018-01-10,-1.8828524
2018-01-17,-2.2482731
2018-01-24,-2.30029
2018-02-01,-2.0851898
2018-02-08,-2.0663805
2018-02-14,-2.0529075
2018-02-22,-2.1767275
2018-03-02,-1.4783077
2018-03-08,-1.8567595
2018-03-15,-1.5536975
2018-03-21,-3.455207
2018-03-27,-2.8577929
2018-04-04,-3.5854456
2018-04-13,-1.3461946
2018-04-18,-4.0369935
2018-05-02,-3.959335
2018-05-11,-4.3057413
2018-05-16,-3.7820022
2018-05-23,-5.641677
2018-05-29,-4.949146
2018-06-07,-5.478206
2018-06-14,-5.5716615
2018-06-22,-5.782779
2018-06-29,-4.6489925
2018-07-04,-5.686292
2018-07-12,-5.2938247
2018-07-20,-5.655603
2018-07-24,-5.8057084
2018-08-01,-5.787149
2018-08-07,-5.786936
2018-08-16,-5.795288
2018-08-23,-5.794851
2018-08-30,-4.9663143
2018-09-06,-5.025205
2018-09-14,-5.280661
2018-09-20,-4.9532833
2018-09-26,-4.7317624
2018-10-04,-5.1800814
2018-10-10,-5.6716604
2018-10-18,-5.672116
2018-10-23,-5.532813
2018-10-31,-5.580387
2018-11-08,-5.6146483
2018-11-16,-4.700487
2018-11-21,-5.42078
2018-11-30,-5.083426
2018-12-03,-5.0746627
2018-12-12,-5.0609484
2018-12-18,-5.082093
2019-01-09,-4.542569
2019-01-17,-5.086186
2019-01-25,-4.56556
2019-02-06,-5.713722
2019-02-14,-5.4044886
2019-02-21,-5.3870955
2019-03-01,-5.347428
2019-03-07,-3.7284272
2019-03-14,-5.3602085
2019-03-20,-4.8145657
2019-03-25,-5.4740086
2019-04-05,-5.6128187
2019-04-12,-5.479812
2019-04-17,-4.2857714
2019-04-29,-3.6798654
2019-05-06,-3.5520554
2019-05-14,-3.8459306
2019-05-23,-3.282567
2019-05-28,-3.3030086
2019-06-07,-2.7454524
2019-06-11,-3.413584
2019-06-21,-3.58079
2019-06-26,-2.9979954
2019-07-03,-3.4160128
2019-07-12,-4.8317194
2019-07-16,-4.9597373
2019-07-25,-3.4698215
2019-07-30,-3.6006045
2019-08-08,-3.718685
2019-08-14,-2.813681
2019-08-20,-2.4395971
2019-08-28,-2.181477
2019-09-04,-2.287556
2019-09-10,-2.734911
2019-09-18,-0.7931454
2019-09-27,-2.241647
2019-10-01,-2.8863955
2019-10-07,-1.9674951
2019-10-16,-1.1106951
2019-10-21,-1.2224437
2019-10-29,-1.0948714
2019-11-04,-0.8400295
2019-11-15,-0.94663006
2019-11-26,-1.0690037
2019-12-05,-1.1265637
2019-12-11,-1.3297087
2019-12-19,-2.2452545
2019-12-27,-1.9376638
2020-01-08,-3.211404
2020-01-13,-3.1567125
2020-02-04,-3.2693346
2020-02-12,-2.98846
2020-02-17,-2.6582553
2020-05-20,-2.393158
2020-05-29,-2.7578518
2020-06-03,-4.9218793
2020-06-10,-5.4280553
2020-06-15,-5.5355234
2020-06-25,-4.9508386
2020-06-29,-4.356472
2020-07-07,-4.878714
2020-07-13,-5.472676
2020-07-23,-4.397909
2020-07-28,-4.474777
2020-08-03,-4.277634
2020-08-10,-5.0407343
2020-08-18,-4.8352203
2020-08-25,-4.499309
2020-09-03,-5.0944443
2020-09-10,-5.304376
2020-09-23,-5.6843257
2020-09-30,-5.162802
2020-10-09,-6.126505
2020-10-13,-5.7553325
2020-10-20,-5.376103
2020-10-29,-5.8492775
2020-11-03,-6.075648
2020-11-11,-5.5115833
2020-11-18,-5.3287754
2020-11-24,-5.9803233
2020-11-30,-5.7295184
2020-12-14,-6.1120257
2020-12-22,-6.3845897
2021-01-04,-5.8939714
2021-01-13,-4.589205
2021-01-18,-6.2310295
2021-01-27,-3.0898693
2021-02-01,-3.3269246
2021-02-11,-5.2172847
2021-02-16,-6.076549
2021-02-23,-6.195226
2021-03-05,-6.1799197
2021-03-11,-5.3816977
2021-03-17,-6.038604
2021-08-13,-1.8851515
2021-10-07,-1.8986828
2021-10-11,-1.8986828
2021-10-18,-2.9562268
2021-10-28,-2.9276948
2021-11-04,-5.8711896
2021-11-18,-5.262962
2021-11-25,-5.665848
2021-12-01,-5.7022057
2021-12-10,-5.856162
2021-12-15,-5.823177
2021-12-21,-5.7135267
2021-12-28,-6.071485
2022-01-12,-6.0747128
2022-01-19,-5.898136
2022-01-27,-5.9779544
2022-02-02,-6.024132
2022-02-10,-5.9475274
2022-02-16,-6.1343813
2022-02-24,-5.912952
2022-03-02,-6.189825
2022-03-11,-6.018593
2022-03-24,-3.3082478
2022-03-28,-2.2072792
2022-04-06,-0.6066532
2022-04-11,-1.6792144
2022-04-19,-4.0714035
2022-04-22,-4.251256
2022-04-27,-5.575448
2022-05-06,-5.5348554
2022-05-13,-5.241038
2022-05-18,-4.1594734
2022-05-18,-4.1594734
2022-05-26,-5.6925855
2022-06-02,-6.0710764
2022-06-10,-5.641985
2022-06-24,-6.154358
2022-06-30,-5.7046847
2022-07-20,-5.983586
2022-07-20,-5.983586
2022-07-28,-5.600393
2022-08-03,-4.02074
2022-08-11,-5.5416884
2022-08-17,-5.648553
2022-08-24,-5.8066554
2022-09-01,-6.223658
2022-09-07,-5.9044766
2022-09-15,-5.338568
2022-09-21,-5.7640643
2022-09-29,-5.465329
2022-10-05,-5.8157816
2022-10-11,-6.115866
2022-10-18,-6.3294697
2022-10-26,-4.136439
2022-11-02,-4.9874587
2022-11-09,-5.4462442
2022-11-17,-6.189286
2022-11-24,-6.1539845
2022-12-01,-5.73193
2022-12-07,-4.0687227
2022-12-16,-4.3123407
2022-12-20,-3.883317
2022-12-27,-5.450339
2023-01-03,-5.905465
2023-01-10,-6.1731215
2023-01-20,-5.987479
2023-01-25,-5.9849234
2023-01-25,-5.9849234
2023-02-01,-6.3498573
2023-02-08,-5.164563
2023-02-14,-5.444821
2023-02-23,-6.093609
2023-02-23,-6.093609
2023-03-01,-5.495436
2023-03-08,-6.005516
2023-03-16,-6.075792
2023-03-16,-6.075792
2023-03-22,-5.884318
2023-03-22,-5.884318
2023-04-04,-6.113449
2023-04-11,-5.620267
2023-04-20,-6.2782063
2023-04-20,-6.2782063
2023-04-27,-6.25042
2023-05-04,-6.1520057
2023-05-11,-6.188155
2023-05-18,-6.315059
2023-05-25,-2.509539
2023-05-31,-2.50904
2023-06-05,-2.5050526
2023-06-05,-2.5050526
2023-06-13,-2.508456
2023-06-21,-2.5036032
2023-06-28,-2.502524
2023-07-05,-2.5047896
2023-07-12,-2.502744
2023-07-19,-2.507057
2023-07-26,-2.5060263
2023-08-01,-2.5059242
2023-08-10,-2.5145826
2023-08-17,-2.5101347
2023-08-24,-2.507653
2023-08-30,-2.5070105
2023-09-07,-2.50604
2023-09-13,-2.5216172
2023-09-21,-2.5043395
2023-09-27,-2.5093665
2023-10-05,-2.509344
2023-10-11,-2.5066006
2023-10-17,-2.506393
2023-10-25,-2.5139456
2023-10-31,-2.5097
2023-11-08,-2.511893
2023-11-16,-2.5170097
2023-11-24,-2.5006874
2023-11-29,-2.507911
2023-12-07,-2.5119557
2023-12-13,-2.5054564
2023-12-19,-2.511356
2023-12-27,-2.512991
2024-01-03,-2.5072525
2024-01-09,-2.513246
2024-01-16,-2.510971
2024-01-23,-2.5039735
2024-02-01,-2.5123293
2024-02-06,-2.5136404
2024-02-13,-2.5081086
2024-02-20,-2.514993
2024-03-07,-2.5038736
2024-03-13,-2.5054936
2024-03-20,-2.5152876
2024-03-26,-2.5121136
2024-04-02,-2.5019171
2024-04-10,-2.5094287
2024-04-24,-2.5027611
2024-04-29,-2.5073388
2024-05-10,-2.5014808
2024-05-15,-2.5026677
2024-05-22,-2.505684
2024-05-29,-2.505988
2024-06-05,-2.5037422
2024-06-10,-2.5028446
2024-06-18,-2.5085409
2024-06-25,-2.507151
2024-07-03,-2.5116327
2024-07-09,-2.5144982
2024-07-18,-2.507792
